VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost
V036,CD12,92.0,CD12-C079-CD12-C022-CD12-C068-CD12-C037-CD12-C054-CD12-C088-CD12-C036-CD12-C008-CD12,8,12-12-12-12-12-12-12-8,49.15015624784762,11.16550591343448,32045.90187359665
V043,CD05,88.0,CD05-C048-CD05-C045-CD05-C003-CD05-C060-CD05-C019-CD05-C076-CD05-C042-CD05,7,12-12-16-12-12-12-12,67.24497501530827,9.382414581281687,43843.72370998099
V031,CD05,84.0,CD05-C016-CD05-C018-CD05-C051-CD05-C046-CD05-C064-CD05-C065-CD05-C033-CD05,7,12-12-12-12-12-12-12,74.19591562787268,9.058627307391466,48375.736989372985
V037,CD07,143.0,CD07-C015-CD07-C039-CD07-C034-CD07-C024-CD07-C056-CD07-C023-CD07-C059-CD07-C084-CD07-C035-CD07-C073-CD07-C089-CD07,11,12-12-12-12-12-12-12-12-12-12-23,76.84969273882234,16.127479391660017,41754.99972142681
V042,CD10,65.0,CD10-C070-CD10-C053-CD10-C083-CD10-C027-CD10-C080-CD10-C052-CD10,6,12-12-12-12-5-12,37.70918746511585,8.752444779836784,24586.390227255535
V041,CD06,48.0,CD06-C085-CD06-C030-CD06-C028-CD06-C017-CD06,4,12-12-12-12,23.982445323639297,5.270007030381942,13030.461959177352
V004,CD02,31.0,CD02-C025-CD02-C086-CD02,2,12-19,15.788698085019622,2.6067496108815593,8578.52595952733
V001,CD04,40.0,CD04-C004-C067-CD04,2,22-18,10.498860738246044,2.028532224842914,6845.257201336421
V002,CD06,68.0,CD06-C044-C072-C043-C057-C038-C011-CD06,6,12-12-12-9-12-11,36.1069592712464,4.600240684549531,19618.114537377212
V005,CD03,23.0,CD03-C006-C066-CD03,2,11-12,13.243952387798846,2.102824687190545,7195.880797370706
V007,CD07,85.0,CD07-C069-C063-C012-C014-C082-C010-CD07,6,12-12-12-12-12-25,38.43213827605395,4.675329532807144,25057.754155987175
V009,CD06,25.0,CD06-C032-C001-CD06,2,12-13,11.315886454988874,2.19505001218582,6148.298307210622
V012,CD03,37.0,CD03-C077-C031-C005-CD03,3,12-11-14,10.895421995973132,2.46048171292005,4439.884463359052
V013,CD04,12.0,CD04-C058-CD04,1,12,10.434339643080502,1.4271552418856785,5669.324539407074
V017,CD09,22.0,CD09-C009-C061-CD09,2,10-12,8.348576958800175,2.1632532084210254,3402.045110711071
V033,CD03,15.0,CD03-C002-CD03,1,15,17.38630224963492,1.3077260437652742,11335.869066761967
V034,CD11,39.0,CD11-C021-C081-C090-CD11,3,15-12-12,28.612713920034867,2.4887732183243925,15546.241229885612
V035,CD09,48.0,CD09-C074-C029-C071-C049-CD09,4,12-12-12-12,21.4210154468512,3.413564818978021,11638.751726122486
V040,CD08,48.0,CD08-C062-C020-C047-C041-CD08,4,12-12-12-12,35.961457243920236,3.0973698669479304,19539.05843586333
V044,CD04,88.0,CD04-C007-C078-C055-C087-C075-C013-C026-C040-CD04,8,9-12-12-10-12-8-13-12,45.77413315291814,6.308505202868674,18652.959259814143
V045,CD06,12.0,CD06-C050-CD06,1,12,10.59379715354434,1.4636689455726855,5755.963120092425
